vec_len,category,dist_fn,top_n,n,min,max,mean,std,med
200,monetary_credit_duration,cosine,10,78397,0.00009,0.64565,0.05721,0.03469,0.05018
200,monetary_credit_duration,euclidean,10,78397,1.41421,349.74704,18.61092,6.22156,17.52078
200,monetary_credit_duration,cosine,1,78397,0.00009,0.55981,0.04555,0.03039,0.03947
200,monetary_credit_duration,euclidean,1,78397,1.41421,270.12589,15.60713,5.14598,14.73940
200,monetary_credit_duration,cosine,5,78397,0.00009,0.63673,0.05297,0.03309,0.04626
200,monetary_credit_duration,euclidean,5,78397,1.41421,318.93729,17.53325,5.70970,16.52271
200,monetary_credit_point,cosine,10,20307,0.00000,0.49076,0.05744,0.04449,0.04685
200,monetary_credit_point,euclidean,10,20307,0.00000,234.71686,18.38561,8.13525,16.70329
200,monetary_credit_point,cosine,1,20307,0.00000,0.38935,0.04631,0.03858,0.03676
200,monetary_credit_point,euclidean,1,20307,0.00000,103.46014,15.49131,5.91205,14.31782
200,monetary_credit_point,cosine,5,20307,0.00000,0.47467,0.05334,0.04215,0.04328
200,monetary_credit_point,euclidean,5,20307,0.00000,198.99246,17.26735,6.83641,15.77973
200,monetary_debit_duration,cosine,10,69922,0.00011,0.45856,0.05673,0.03515,0.04939
200,monetary_debit_duration,euclidean,10,69922,1.36277,303.49631,18.00791,5.61264,16.91817
200,monetary_debit_duration,cosine,1,69922,0.00011,0.37900,0.04512,0.03064,0.03866
200,monetary_debit_duration,euclidean,1,69922,1.36277,188.53647,15.22922,4.61050,14.38750
200,monetary_debit_duration,cosine,5,69922,0.00011,0.44822,0.05245,0.03339,0.04547
200,monetary_debit_duration,euclidean,5,69922,1.36277,283.12543,17.00886,5.16845,16.01059
200,monetary_debit_point,cosine,10,16444,0.00000,0.40541,0.05263,0.04248,0.04065
200,monetary_debit_point,euclidean,10,16444,0.00000,267.69571,18.54963,9.94498,16.55295
200,monetary_debit_point,cosine,1,16444,0.00000,0.36529,0.04204,0.03742,0.03160
200,monetary_debit_point,euclidean,1,16444,0.00000,82.54696,15.35990,6.42113,14.10674
200,monetary_debit_point,cosine,5,16444,0.00000,0.39169,0.04876,0.04057,0.03751
200,monetary_debit_point,euclidean,5,16444,0.00000,157.67372,17.31640,7.82084,15.65248
200,monetary_unk_duration,cosine,10,409,0.00166,0.51441,0.08468,0.05356,0.07787
200,monetary_unk_duration,euclidean,10,409,10.58300,189.22473,27.35000,14.45441,25.11971
200,monetary_unk_duration,cosine,1,409,0.00166,0.46654,0.07686,0.05168,0.07169
200,monetary_unk_duration,euclidean,1,409,10.58300,113.80685,23.92665,8.92633,22.93469
200,monetary_unk_duration,cosine,5,409,0.00166,0.49114,0.08025,0.05252,0.07413
200,monetary_unk_duration,euclidean,5,409,10.58300,186.30620,25.41555,12.17228,24.02082
200,monetary_unk_point,cosine,10,79,0.08043,inf,inf,nan,0.14740
200,monetary_unk_point,euclidean,10,79,17.46425,inf,inf,nan,24.73863
200,monetary_unk_point,cosine,1,79,0.08043,0.35213,0.12495,0.04977,0.09781
200,monetary_unk_point,euclidean,1,79,17.46425,29.91655,22.92860,1.92281,22.91288
200,monetary_unk_point,cosine,5,79,0.08043,0.35355,0.13195,0.04970,0.11521
200,monetary_unk_point,euclidean,5,79,17.46425,30.70831,23.19528,1.95238,23.15167
200,nonmonetary_duration,cosine,10,18150,0.00061,0.54874,0.06805,0.04635,0.05587
200,nonmonetary_duration,euclidean,10,18150,2.00000,61.00820,16.80430,4.48274,16.15549
200,nonmonetary_duration,cosine,1,18150,0.00061,0.50287,0.06241,0.04335,0.05185
200,nonmonetary_duration,euclidean,1,18150,2.00000,57.43692,15.53760,4.42622,14.83240
200,nonmonetary_duration,cosine,5,18150,0.00061,0.50434,0.06482,0.04509,0.05334
200,nonmonetary_duration,euclidean,5,18150,2.00000,57.43692,16.04637,4.45217,15.32971
200,nonmonetary_point,cosine,10,3476,0.00036,0.31329,0.06747,0.03352,0.06247
200,nonmonetary_point,euclidean,10,3476,2.64575,198.14389,16.16880,5.68983,15.23155
200,nonmonetary_point,cosine,1,3476,0.00036,0.26545,0.05888,0.03118,0.05411
200,nonmonetary_point,euclidean,1,3476,2.64575,78.76547,14.19290,4.72718,13.34166
200,nonmonetary_point,cosine,5,3476,0.00036,0.27861,0.06267,0.03223,0.05785
200,nonmonetary_point,euclidean,5,3476,2.64575,97.34988,15.02547,5.08830,14.45683
